,product,year,country,total_production,quantity,per_production,amount
257,Espumante,2025,Peru,7461665,12705.951913917426,0.17028,12705.951913917426
258,Espumante,2025,Polônia,7461665,12704.488967414609,0.17026,12704.488967414609
259,Espumante,2025,Porto Rico,7461665,12979.578149996476,0.17395,12979.578149996476
260,Espumante,2025,Portugal,7461665,13064.3132978112,0.17509,13064.3132978112
261,Espumante,2025,Quênia,7461665,12670.597107918687,0.16981,12670.597107918687
262,Espumante,2025,Reino Unido,7461665,14490.24269313351,0.1942,14490.24269313351
263,Espumante,2025,Republica Dominicana,7461665,13773.237283614786,0.18459,13773.237283614786
264,Espumante,2025,Republica Tcheca,7461665,13773.88906659476,0.1846,13773.88906659476
265,Espumante,2025,Rússia,7461665,49708.89937722282,0.66619,49708.89937722282
266,Espumante,2025,Serra Leoa,7461665,12648.571188108304,0.16951,12648.571188108304
267,Espumante,2025,Singapura,7461665,12620.087915376367,0.16913,12620.087915376367
268,Espumante,2025,Suriname,7461665,12681.482265319499,0.16996,12681.482265319499
269,Espumante,2025,Suécia,7461665,12831.82055412683,0.17197,12831.82055412683
270,Espumante,2025,Suíça,7461665,12813.357115296141,0.17172,12813.357115296141
271,Espumante,2025,Sérvia,7461665,12709.46125211474,0.17033,12709.46125211474
272,Espumante,2025,Tailândia,7461665,12631.853139584011,0.16929,12631.853139584011
273,Espumante,2025,Taiwan (Formosa),7461665,12717.84075359506,0.17044,12717.84075359506
274,Espumante,2025,"Tcheca, República",7461665,12782.5386496967,0.17131,12782.5386496967
275,Espumante,2025,Togo,7461665,12620.31061697977,0.16914,12620.31061697977
276,Espumante,2025,Trinidade e Tobago,7461665,13661.001359590886,0.18308,13661.001359590886
277,Espumante,2025,Turquia,7461665,12636.957782306019,0.16936,12636.957782306019
278,Espumante,2025,Uruguai,7461665,13812.33242018018,0.18511,13812.33242018018
279,Espumante,2025,Vanuatu,7461665,12605.960192174796,0.16894,12605.960192174796
280,Espumante,2025,Venezuela,7461665,12873.186042470828,0.17252,12873.186042470828
281,Espumante,2025,Vietnã,7461665,12714.43664096549,0.1704,12714.43664096549
282,Espumante,2025,África do Sul,7461665,12620.728210520505,0.16914,12620.728210520505
283,Espumante,2025,Índia,7461665,12704.305546820116,0.17026,12704.305546820116
284,Espumante,2025,"Alemanha, República Democrática da",7461665,13751.851357713336,0.1843,13751.851357713336
285,Espumante,2025,Antígua e Barbuda,7461665,12643.30985161157,0.16944,12643.30985161157
286,Espumante,2025,Argélia,7461665,12648.650507061053,0.16952,12648.650507061053
287,Espumante,2025,Arábia Saudita,7461665,12708.031611497307,0.17031,12708.031611497307
288,Espumante,2025,Austrália,7461665,12929.845871786012,0.17328,12929.845871786012
289,Espumante,2025,Barein,7461665,12612.734168395575,0.16903,12612.734168395575
290,Espumante,2025,Belize,7461665,13497.852826471464,0.1809,13497.852826471464
291,Espumante,2025,Birmânia,7461665,13597.012476668702,0.18222,13597.012476668702
292,Espumante,2025,Bolívia,7461665,13584.611735123819,0.18206,13584.611735123819
293,Espumante,2025,Brasil,7461665,12649.220196475282,0.16952,12649.220196475282
294,Espumante,2025,Bulgária,7461665,12659.515232651982,0.16966,12659.515232651982
295,Espumante,2025,Bélgica,7461665,12865.132549309184,0.17242,12865.132549309184
296,Espumante,2025,Canadá,7461665,13627.675543657751,0.18264,13627.675543657751
297,Espumante,2025,Colômbia,7461665,12645.166233748203,0.16947,12645.166233748203
